"","date","dat$`Lufttemperatur (°C)`","dat$`Windböen (max) 10 min. (m/s)`","dat$`Windstärke Ø 10 min. (bft)`","dat$`Taupunkt (°C)`","dat$`Niederschlag (mm)`","dat$`Luftdruck QFE (hPa)`","dat$`Luftfeuchte (%)`","total","mean"
"430",2016-01-20 12:00:00,2.38333333333333,3.05,1.5,0.4,0,969.533333333333,86.6666666666667,509087,43.687205011585
"431",2016-01-20 13:00:00,2.95,2.98333333333333,1.83333333333333,0.433333333333333,0,969.25,83.6666666666667,466024,40.1467953135768
"432",2016-01-20 14:00:00,1.78333333333333,3.6,2,0.0666666666666667,0,969.216666666667,88.5,506524,44.6552058538306
"433",2016-01-20 15:00:00,2.01666666666667,2.5,1.33333333333333,0.0833333333333333,0,969.383333333333,87,527387,45.4448082722964
"434",2016-01-20 16:00:00,2.11666666666667,1.96666666666667,1.33333333333333,0.133333333333333,0,969.5,86.5,602856,45.3138905592303
"435",2016-01-20 17:00:00,1.91666666666667,2.18333333333333,1.33333333333333,0.183333333333333,0,969.85,88.3333333333333,868947,63.4916703200351
"436",2016-01-20 18:00:00,1.8,2.5,1.5,0,0,970.2,87.8333333333333,683052,50.9208289846429
"437",2016-01-20 19:00:00,1.53333333333333,2.83333333333333,1.83333333333333,-0.4,0,970.633333333333,87,523266,44.4160937102114
"438",2016-01-20 20:00:00,1.48333333333333,2.55,2,-0.5,0,970.866666666667,86.5,503455,47.7072870273856
"439",2016-01-20 21:00:00,0.95,3.68333333333333,2,-0.633333333333333,0,971.333333333333,89,320909,38.2216531681753
"440",2016-01-20 22:00:00,0.266666666666667,4.48333333333333,2,-0.966666666666667,0,971.816666666667,91.3333333333333,273434,34.4028686462003
"441",2016-01-20 23:00:00,-0.316666666666667,4.28333333333333,2,-1.35,0,972.3,92.8333333333333,172836,28.0760233918129
"442",2016-01-21 00:00:00,-0.316666666666667,3.35,1.83333333333333,-1.53333333333333,0,972.6,91.3333333333333,79719,17.1365004299226
"443",2016-01-21 01:00:00,-0.783333333333333,3.96666666666667,2,-2.3,0,972.85,89.5,2003,15.7716535433071
"444",2016-01-21 04:00:00,-1.51666666666667,4.28333333333333,2,-2.61666666666667,0,973.266666666667,92.3333333333333,1823,14.8211382113821
"445",2016-01-21 05:00:00,-1.7,3.15,2,-3,0,973.6,90.8333333333333,134082,25.6077158135982
"446",2016-01-21 06:00:00,-1.78333333333333,4.31666666666667,2,-2.95,0,973.816666666667,91.5,463381,37.4267829739116
"447",2016-01-21 07:00:00,-1.96666666666667,4.05,2,-3.16666666666667,0,974.183333333333,91.5,649014,46.587753930084
"448",2016-01-21 08:00:00,-1.93333333333333,4.28333333333333,2,-3.2,0,974.65,90.8333333333333,877752,66.031144211239
"449",2016-01-21 09:00:00,-1.91666666666667,3.96666666666667,2,-3.33333333333333,0,975.1,89.6666666666667,430530,37.0699156190804
"450",2016-01-21 10:00:00,-1.43333333333333,4.18333333333333,2,-3.06666666666667,0,975.5,88.6666666666667,368800,32.4762240225431
"451",2016-01-21 11:00:00,-0.4,4.38333333333333,2.16666666666667,-2.76666666666667,0,975.616666666667,84,381981,33.4337855579869
"452",2016-01-21 12:00:00,1.16666666666667,4.46666666666667,2,-2.23333333333333,0,975.466666666667,78.1666666666667,465455,39.9600789835165
"453",2016-01-21 13:00:00,2.56666666666667,4.28333333333333,2,-1.83333333333333,0,975.2,72.5,495594,42.5475618131868
